date,player,bet,win,x,game,provider,videoUrl,thumb,tags
10.12.2024,Moses,"0,60€","317,10 €","528,5",Stormforged,Hacksaw Gaming,
12.04.2024,Moses,"0,20€","311,66 €","1558,3",Stormforged,Hacksaw Gaming,
12.09.2025,Moses,"0,40€","283,32 €","708,3",Stormforged,Hacksaw Gaming,
29.08.2025,Domi,"0,40€","225,52 €","563,8",Stormforged,Hacksaw Gaming,
03.10.2024,Alex,"0,20€","215,98 €","1079,9",Stormforged,Hacksaw Gaming,
06.11.2024,Moses,"0,60€","190,58 €","317,6",Stormforged,Hacksaw Gaming,
14.09.2025,Domi,"0,80€","179,52 €","224,4",Stormforged,Hacksaw Gaming,
04.09.2025,Alex,"0,60€","151,98 €","253,3",Stormforged,Hacksaw Gaming,
11.09.2025,Moses,"0,40€","135,40 €","338,5",Stormforged,Hacksaw Gaming,
10.12.2024,Moses,"1,00€","134,20 €","134,2",Stormforged,Hacksaw Gaming,
19.01.2024,Robin,"0,10€","131,79 €","1317,9",Stormforged,Hacksaw Gaming,
04.09.2025,Alex,"0,40€","128,48 €","321,2",Stormforged,Hacksaw Gaming,
24.08.2024,Planki,"0,20€","256,04 €","1281,0",Stockholm Syndrom,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudeteyayowonogususasorarodabo?device=desktop&language=de&replayId=zohugahaponiraheyakumudeteyayowonogususasorarodabo,assets/img/shs.avif
25.08.2024,Planki,"0,20€","256,04 €","1280,2",Stockholm Syndrom,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudeteyayowonogususasorarodabo?device=desktop&language=de,assets/img/shs.avif
15.12.2024,Planki,"0,20€","224,00 €","1120,0",Stockholm Syndrom,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudeziunutomusereyuzotuinebu?device=desktop&language=de&replayId=zohugahaponiraheyakumudeziunutomusereyuzotuinebu,assets/img/shs.avif
08.12.2024,Moses,"2,00€","115,50 €","57,8",Sticky Bees,Pragmatic Play,
16.06.2024,Robin,"0,20€","976,40 €","4882,0",Starlight Princess 1000,Pragmatic Play,
19.07.2024,Robin,"0,40€","389,20 €","973,0",Starlight Princess 1000,Pragmatic Play,
24.09.2024,Moses,"0,20€","157,60 €","788,0",Starlight Princess 1000,Pragmatic Play,
13.05.2025,Moses,"0,60€","120,84 €","201,4",Starlight Princess 1000,Hacksaw Gaming,
11.03.2025,Moses,"0,40€","104,57 €","261,4",Slayers Inc,Hacksaw Gaming,
19.03.2025,Moses,"0,40€","104,04 €","260,1",Slayers Inc,Hacksaw Gaming,
17.11.2024,Moses,"0,20€","103,78 €","518,9",Slayers Inc,Hacksaw Gaming,
23.09.2024,Moses,"0,40€","760,08 €","1900,2",Skyship Raiders ,Twist Gaming,
12.09.2024,Planki,"1,50€","1.193,10 €","795,4",Sky Bounty,Pragmatic Play,https://fkivsk.hrqhregkxq.net/jMEfN9Ood7,assets/img/skyb.avif
03.02.2024,Moses,"0,25€","1.018,00 €","4072,0",Sky Bounty,Pragmatic Play,
30.08.2024,Planki,"0,25€","250,00 €","1000,0",Sky Bounty,Pragmatic Play,https://fkivsk.hrqhregkxq.net/JqN5kpKF7f,assets/img/skyb.avif
10.05.2024,Moses,"0,25€","199,24 €","797,0",Sky Bounty,Pragmatic Play,
08.12.2024,Moses,"0,12€","132,48 €","1104,0",Skate or Die,Nolimit City,
16.04.2025,Moses,"1,00€","2.500,00 €","2500,0",Six Six Six,Hacksaw Gaming,
08.12.2024,Moses,"1,00€","100,00 €","100,0",Six Six Six,Hacksaw Gaming,
08.12.2024,Moses,"0,80€","128,80 €","161,0",Shaolin Master,Hacksaw Gaming,
25.03.2024,Robin,"0,20€","144,90 €","724,5",Serial,Nolimit City,
08.04.2025,Robin,"1,20€","558,72 €","465,6",Santas Wonderland,Pragmatic Play,https://www.pplink.social/KqHAoetZup,assets/img/santa.avif
13.04.2025,Moses,"0,20€","1.127,12 €","5635,6",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,05€","884,54 €","17690,8",San Quentin 2,Nolimit City,
16.04.2025,Moses,"0,20€","640,18 €","3200,9",San Quentin 2,Nolimit City,
27.03.2025,Moses,"0,10€","537,56 €","5375,6",San Quentin 2,Nolimit City,
08.04.2025,Robin,"0,20€","510,09 €","2550,5",San Quentin 2,Nolimit City,
27.09.2024,Moses,"0,20€","448,36 €","2241,8",San Quentin 2,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudurikobahemenusubuzuniniwani?device=desktop&lan,assets/img/sq2.avif
30.12.2024,Robin,"0,02€","346,86 €",17343,San Quentin 2,Nolimit City,
10.12.2024,Moses,"0,06€","307,87 €","5131,2",San Quentin 2,Nolimit City,
04.09.2025,Alex,"0,20€","301,20 €","1506,0",San Quentin 2,Nolimit City,
04.11.2024,Moses,"0,20€","285,67 €","1428,4",San Quentin 2,Nolimit City,
28.03.2025,Robin,"0,06€","278,69 €","4644,8",San Quentin 2,Nolimit City,
08.12.2024,Moses,"0,20€","265,86 €","1329,3",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","262,51 €","2625,1",San Quentin 2,Nolimit City,
14.03.2025,Moses,"0,06€","232,46 €","3874,3",San Quentin 2,Nolimit City,
08.12.2024,Moses,"0,20€","203,76 €","1018,8",San Quentin 2,Nolimit City,
05.11.2024,Moses,"0,20€","198,60 €","993,0",San Quentin 2,Nolimit City,
15.03.2025,Moses,"0,02€","146,09 €","7304,5",San Quentin 2,Nolimit City,
19.04.2025,Robin,"0,06€","134,26 €","2237,7",San Quentin 2,Nolimit City,
28.09.2024,Planki,"0,20€","128,04 €","640,2",San Quentin 2,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuduranizorametohuzumiamaumi?device=desktop&langu,assets/img/sq2.avif
13.04.2025,Moses,"0,20€","113,59 €","568,0",San Quentin 2,Nolimit City,
11.09.2025,Moses,"0,06€","112,03 €","1867,2",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","110,03 €","1100,3",San Quentin 2,Nolimit City,
13.04.2025,Moses,"0,10€","106,03 €","1060,3",San Quentin 2,Nolimit City,
15.03.2025,Moses,"0,02€","288,52 €","14426,0",San Quentin ,Nolimit City,
